"artistkey","artistid","latitude","longitude","location","name"
"7fca4c0da0efb55a42e8cff521f4fcfc",ARFQAQV1187B9A9AD5,0.0,0.0,,Yndio
bee9558b6e366b6ed1cda2c94f2bfca5,ARI945I1187FB4CC22,0.0,0.0,,The King Sisters & Alvino Rey
f70e7913e55484fc8e1765824d47ddeb,AR0XSOO1187B9B9E88,51.50632,-0.12714,London / Ex-Manchester,Buzzcocks
db3aa96990e8ed05090685d1e002920b,ARJGRNY11F4C847277,0.0,0.0,Glasgow UK-SCOTLAND,Twin Atlantic
a047f2e2da22580e87a54d4eed23e418,AR20CFC1187B98A25D,0.0,0.0,Washington,Ray Charles
"429d8328b2de1e4019928084e951c3cf",ARIT8YH1187FB43F30,0.0,0.0,"Whitby, Yorkshire, England",Arthur Brown
"22afe28dc0b722346d43b3640c1fbce5",AR6DGPH1187B998587,35.83073,-85.97874,Tennessee,David Evans
"245b894c9287cb5726bebe1f6a335eca",ARE0OLY1187B9AD19F,40.79263,-73.80817,"Whitestone, Queens, NY",Jesse Malin
"31cf06c2d3917aa6bcccf9afd7045a2c",ARHEDEC121318C58DE,0.0,0.0,,Studio
a993039b0a0322c6c73d4e086df9ad93,ARJMUEZ1187B98D16E,0.0,0.0,"Queens, NY",Danger Danger
"1d37b8e3465794924f7a6ac728b64f07",ARWC6LA1187B9B2096,37.27188,-119.27023,Seattle WA,Ian Moore
"1d45747b2ff96bca711c90a55b04559a",ARUQSEE1187B9983F8,40.75851,-82.5148,"Mansfield, OH",Music Explosion
"79cb3ce4164cadf86a09791c071bcc9a",ARBM57Q1187B9AF97C,34.05349,-118.24532,"Los Angeles, CA",James Horner
"9d22bfb1feefa7513d67dbd89af39632",AR49IQD1187FB37EA7,0.0,0.0,Los Angeles CA,Xzibit
"48ee44e4d0e230420333d3cfd5522d4f",AR6PJ8R1187FB5AD70,0.0,0.0,"Barranquilla, Colombia",Shakira
"7e45688f7ca5f714836616313b83b6fe",ARLHEM01187B9AFF5B,0.0,0.0,,Conjunto Clasico
"4edc91abfb2938f8df2f39b63cf43938",ARTXS851187FB411C7,0.0,0.0,"Essex, England",Chris Farlowe
d50ebd993002aa17313465e797641c79,ARFQTFS12086C14218,0.0,0.0,,Orenda
da258f7301c57b32bdd17427c0b61821,ARRGDPV122BCFCB7F2,0.0,0.0,,Bowen_ Robin Huw
e4e52eb8224ef0dc920ce8913115ad4c,ARMBYRO1187FB57419,0.0,0.0,,Nadine Renee
eaaf9ebef6968a50221b50027d43fa85,ARKJKVO1187FB49D0A,0.0,0.0,,Michèle Bernard
"5a60d40543f723f7f4b7e4dd794896e0",ARUKJUP12086C14589,0.0,0.0,,Ramón Vargas
"16a258e742f34aca027c043f092f3d32",AR7Q0O91187FB4DBE7,0.0,0.0,"Fort Myers, FL",Plies
d65db8ee688a78b2a5a29df8858adbd4,AR3EABF1187B98AD35,59.46148,108.83178,Russia,Sophie Tucker
"71c914df2aaebd517ae3ce1c54383a39",ARSS4Y41187B9B0AC6,38.41982,-82.44537,"Huntington, WV",Bobaflex
"979bed2ab5fbe05a90ffbe38c86d0e1d",ARZL6CE1187FB3F264,27.9758,-81.54106,"Fort Meyers, FL",Mindy McCready
a78c3d458b8005c4b195b1200db2c2f4,ARQPWTM12420783719,0.0,0.0,Serbia,Ana Nikolic
"52eb5937d7991f4e2ea8548d53389e59",ARE9SYU1187B9B9838,29.18752,-82.14039,"OCALA, Florida",Jerry Reed
"1d1f2f437d21d6cce7fed62084e25ea7",ARK8EHO1187B9B71D1,57.15382,-2.10679,"Aberdeen, Scotland",The Shamen
f473d0482d589ba38d9d7221e503dbf1,AR051KA1187B98B2FF,0.0,0.0,,Wilks
"139dec8e92c9c0fb43eb2f6023405128",AR040QX1187FB4CFE1,0.0,0.0,"St. Catharines, ON, Canada",Alexisonfire
"19ba218bec2bb4c4ffdd514ad6a457aa",ARU24791187B996E24,46.8132,8.22395,Switzerland,Prisma
"056a2880d2e63e3a378e1172d07e66cc",ARZ39UI1187B989289,0.0,0.0,,Izzy Stradlin And The Ju Ju Hounds
"42c6912188f060cc4e994321d8f892df",AROVY9L1187FB3A97C,35.83073,-85.97874,"Winston-Salem, NC",George Hamilton IV
"6890dc015a4eee443fbd602f91f1f466",ARJA5XT1187B9B89AA,0.0,0.0,,David Tao
"9baf9c16527c806f22af02a934436f7b",ARFKATV1187FB377F9,0.0,0.0,,King Swamp
"8df7d84991816a1aecabd5a2d3540e9e",ARVCZAB12454A37E86,0.0,0.0,,Françoise Hardy - Maurane
b18315741d94dbf29ad9b1bc56f5f52e,ARHUQUF1187FB382E6,-29.21545,26.83776,Thaba Nchu,T-Bone
"24275e0a8e6767d58c7d452f27390f43",ARZAHDN1187B9B4BED,0.0,0.0,Tennessee,Ice_ Lucky Luciano_ Filero
feb32a81a5660815c9a6da52729aee95,AR7CKG21187B9AD40F,39.73926,-89.50409,Illinois,Tijuana Hercules
"36471c494059428003959cfa9ce27739",ARDZQ5U1187B9ADEAE,37.8695,-122.2705,"Berkeley, CA",John Fogerty
"8ea00960ff023fe7100379d9ace2a003",ARNLOX91187B990BFC,0.0,0.0,"Bundundu, Zaire",Tabu Ley Rochereau
ff3e2bb310c2990af58e9d8b2f4fd785,ARSENJW1187B9B053E,0.0,0.0,,Bimbo Band
"3e66eaf88330c4f1369715ed53605e78",AR32ETX1187B9A792F,0.0,0.0,,The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan
e0dff797e6ec37f4a1922fb202010897,ARB29H41187B98F0EF,41.88415,-87.63241,Chicago,Terry Callier
"67534631cc334580b2afcd172061221e",ARDR4AC1187FB371A1,0.0,0.0,,Montserrat Caballé
ae15d6fb597f26ecb9cd6bcd23430b14,ARTH9041187FB43E1F,0.0,0.0,"St. Joseph, MO",Eminem
"86b66794326ec7099f7f0c97e546de4f",AR3ZV061187FB3C821,0.0,0.0,,Moving Cloud
"7741df4a1fab1c81abc61dc4b70afc8e",AR23C041187FB4D534,0.0,0.0,"Queens, NY","50 Cent / Mobb Deep"
"8865bdd406e0c0d9dea28e4a22b890f8",ARSHZBZ1187B98A445,0.0,0.0,,Joe Bonamassa
d1a6610b5426e9721906e742de7f69a3,ARYLQVR11F50C4EFC2,0.0,0.0,,Saman
"55c7da3aad128a128704d4464bc422af",ARK2G5U1187FB46B34,0.0,0.0,,Perrey And Kingsley
"8869fad70ad19090973cf2fa6d13252f",AR91DZT1187FB4C599,52.47859,-1.9086,"Birmingham, England",Frost
"8ad391b20fbd6fd84774d6f3536b7a0e",ART9G811187FB55F2D,0.0,0.0,Greece,Monika_ Wolfgang
"4a96dda151c3224ad37711b85c793148",ARKC83D1187B9AB367,0.0,0.0,,Mark Lowry
ed3f9207b4e753fe98e0ba4592d37631,ARM9QAE1187B9AF687,-14.24292,-54.38783,Brazil,Shaman
"7b7e440f6bc88f05e77c021f55547769",ARBE5BJ1187B98BCFD,0.0,0.0,,Chico Hamilton Quintet
"11b889efdf6dfc9dfbdfcdacec269e87",ARSZIBW1187B994053,0.0,0.0,,James Newton Howard
"8492f7d144635f0c18d3fa0bd01e7687",ARQ6QOK1187B9B0A2E,0.0,0.0,,Kalibas
d2070ad77f421fb4d457812b48902744,ARHNMEZ11F50C4706C,35.83073,-85.97874,Tennessee,Karen Peck & New River
"8f1cd01ce18c2679a813c7ba307c1efb",AR8B1WY1187FB38366,0.0,0.0,"Long Island, NY",Rakim
"81ce2ea037e9836745f075ae3dbf0ecd",ARZLX2S1187B991A47,0.0,0.0,,The Four Pennies
d1d0be9eeb464207de2c619eebcf71b3,AROWNZP1187FB3C028,0.0,0.0,Illinois,Black Box
"5d3d75c9cd623feb67225fd04ff5ecf0",ARH3S5S1187FB4F76B,0.0,0.0,"London, England",Nirvana
"1ef8d956834f5917a990ea3c23ea3858",ARKZ68G1187B98B189,53.79449,-1.54658,"Leeds, England",Gang Of Four
"6f697fbbc24cd032786074ad72dd036c",AR7537T1187B98FF59,0.0,0.0,,Frankie Randall
a3734a6f21c1dc911394bf5b3d90dfa9,ARDP3WW1187FB3D28C,45.4215,-75.69189,"Ottawa, Ontario, Canada",Sue Foley
