"datekey","date","dayofweek","dayofmonth","weekofyear","month","year","weekendflag"
1696118400,2023-10-01 00:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696122000,2023-10-01 01:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696125600,2023-10-01 02:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696129200,2023-10-01 03:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696132800,2023-10-01 04:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696136400,2023-10-01 05:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696140000,2023-10-01 06:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696143600,2023-10-01 07:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696147200,2023-10-01 08:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696150800,2023-10-01 09:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696154400,2023-10-01 10:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696158000,2023-10-01 11:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696161600,2023-10-01 12:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696165200,2023-10-01 13:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696168800,2023-10-01 14:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696172400,2023-10-01 15:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696176000,2023-10-01 16:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696179600,2023-10-01 17:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696183200,2023-10-01 18:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696186800,2023-10-01 19:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696190400,2023-10-01 20:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696194000,2023-10-01 21:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696197600,2023-10-01 22:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696201200,2023-10-01 23:00:00.000,0.0,1.0,39.0,10.0,2023.0,true
1696204800,2023-10-02 00:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696208400,2023-10-02 01:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696212000,2023-10-02 02:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696215600,2023-10-02 03:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696219200,2023-10-02 04:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696222800,2023-10-02 05:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696226400,2023-10-02 06:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696230000,2023-10-02 07:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696233600,2023-10-02 08:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696237200,2023-10-02 09:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696240800,2023-10-02 10:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696244400,2023-10-02 11:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696248000,2023-10-02 12:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696251600,2023-10-02 13:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696255200,2023-10-02 14:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696258800,2023-10-02 15:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696262400,2023-10-02 16:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696266000,2023-10-02 17:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696269600,2023-10-02 18:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696273200,2023-10-02 19:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696276800,2023-10-02 20:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696280400,2023-10-02 21:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696284000,2023-10-02 22:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696287600,2023-10-02 23:00:00.000,1.0,2.0,40.0,10.0,2023.0,false
1696291200,2023-10-03 00:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696294800,2023-10-03 01:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696298400,2023-10-03 02:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696302000,2023-10-03 03:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696305600,2023-10-03 04:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696309200,2023-10-03 05:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696312800,2023-10-03 06:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696316400,2023-10-03 07:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696320000,2023-10-03 08:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696323600,2023-10-03 09:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696327200,2023-10-03 10:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696330800,2023-10-03 11:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696334400,2023-10-03 12:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696338000,2023-10-03 13:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696341600,2023-10-03 14:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
1696345200,2023-10-03 15:00:00.000,2.0,3.0,40.0,10.0,2023.0,false
