"locationkey","city","statecode","statename","latitude","longitude"
b97621e65496a6990ac73794a28aea53,Abbeville,SC,South Carolina,34.182424,-82.425604
d2cad1f9225e6f978c729adb52fa10ae,Abbott,TX,Texas,31.881728,-97.08541
bdbb4b2e17d3507fdc0e1b800fc14115,Aberdeen,MS,Mississippi,33.843668,-88.5653
ded25d36179242c5a3f18c22bcc710ff,Aberdeen,NC,North Carolina,35.116885,-79.432157
"38f029b853eba88aaf14ba9ae37a3acc",Aberdeen,SD,South Dakota,45.482335,-98.53254
c92644b27f19a2798fecf0cc266af0cc,Aberdeen,WA,Washington,47.205638,-123.754329
"7648afa77d82fcdc1bba6f4f383d1674",Abilene,KS,Kansas,38.956476,-97.21909
b3f4287324cfffe3379b10a439921790,Abilene,TX,Texas,32.333551,-99.927724
"58240a858723055805f5964b6ec4ed34",Abilene,TX,Texas,32.434599,-99.781827
"501a5a7ec5de2eae0a419b2898d024be",Abilene,TX,Texas,32.576489,-99.665323
c21ad59cd6b56bf3f38604faec62a973,Abingdon,VA,Virginia,36.768883,-82.027987
"88028f7810b5824b3bc6c7d82469f5bb",Abington,PA,Pennsylvania,40.125912,-75.125442
"184f43e73ce8e3af852681a45ee57a80",Ackerman,MS,Mississippi,33.3532,-89.1878
cab5e832ce189ece3a54a329cf779467,Ackley,IA,Iowa,42.567768,-93.060058
"79c55046b6f778e0a7d2ccdb7c2752dd",Acton,MA,Massachusetts,42.483953,-71.438495
"4f1ffb836b492daf646f2a9c2f683c93",Acworth,GA,Georgia,34.034515,-84.707349
"249066bc87537b2e11e5c5ab09c728db",Acworth,GA,Georgia,34.103138,-84.633785
"7b441a13d5b81cd9722b6c4fa9fc535c",Ada,OH,Ohio,40.784403,-83.81327
"81dec3d25ae5cdae6bcaf4ea5f7f1e0c",Ada,OK,Oklahoma,34.788674,-96.715184
"068173c1bdc3da87224315de67026382",Adams,NY,New York,43.807294,-76.050285
"0c6fa47420addac331762bd887f26243",Adams,TN,Tennessee,36.575109,-87.101199
"1c29e76c071f421fa0e1f3acfe6fb820",Adamsville,TN,Tennessee,35.261735,-88.408628
e86cd508ada2a36ae1d3beba009cc418,Addis,LA,Louisiana,30.352897,-91.26223
c1db8fe4ea53e013d034958228c20615,Addison,IL,Illinois,41.93106,-88.01305
d18913b5a98d40ed1f9766be509ee784,Adelanto,CA,California,34.585234,-117.453724
"5bbae052fcb70e12d47a7a8d1d6760c1",Adin,CA,California,41.13614,-120.840356
"5d40343eeba36866f14728e997aab424",Adrian,GA,Georgia,32.554049,-82.595322
"6987b1724c26bccae36fe520c2c83cd9",Adrian,MI,Michigan,41.902354,-84.064698
"1b9e58b5c5e4e18c8868022f5b40fe93",Adrian,PA,Pennsylvania,40.895902,-79.510523
"448985c7877fea67898d275f2f2f71d5",Afton,IA,Iowa,41.027101,-94.191097
a5d1587743c8b30cdc8dc6ac3ffc9656,Agawam,MA,Massachusetts,42.062332,-72.628274
adc55656530e6e8ce6d1de71aa5d0872,Agoura Hills,CA,California,34.123286,-118.758541
c933d6f58b2edd88976224e963b45e78,Aiea,HI,Hawaii,21.406053,-157.884952
d8343595fb7a84cedd77431d5900ee82,Aiken,SC,South Carolina,33.490267,-81.762699
e4a5650c455a887f76f315e47f9c4f5d,Ainsworth,IA,Iowa,41.32966,-91.547062
"316d3a07bf46241deef1ce5608a8217e",Akron,IN,Indiana,41.042987,-86.038676
"0256811bc5eeb0bdd7a3652a4cdde2f9",Akron,OH,Ohio,40.981499,-81.527637
fab0956d0f3cec40faa6827b7dfe2162,Akron,OH,Ohio,41.01412,-81.443702
"5c582928f6caa684539f9c37c5304ef4",Akron,OH,Ohio,41.04349,-81.524017
df41f3b9a7a6710c8ab68f987fc7de39,Akron,OH,Ohio,41.088647,-81.652446
bcd0bc7bae140713062a8b40adcfe2f4,Akron,OH,Ohio,41.105174,-81.494631
e0b2f83c989eaf7aade8cf356f4ff823,Akron,OH,Ohio,41.130064,-81.572704
f008dc0f1499cbe00bc4f85883d2b5d3,Akron,PA,Pennsylvania,40.156599,-76.203959
"413356148fa8b7a15d2ef693ebc4257d",Alabaster,AL,Alabama,33.215501,-86.797578
"93fccd41b068bfc83a097225b525d20b",Alachua,FL,Florida,29.819094,-82.486085
f4c10b7c4990c1ee8f862e1b0d3dd18d,Alameda,CA,California,37.773797,-122.278123
b091144ad6acdb7b016127d559b69953,Alamo,TX,Texas,26.144539,-98.121312
"0a28a3a67d6f8e0279bad1cc6cbb0b59",Alamogordo,NM,New Mexico,32.640069,-106.075211
"4b2289557c4e71923a60c902203c40df",Alanson,MI,Michigan,45.438354,-84.779353
b8adb9e90b8cc15a4970eca373f762c6,Albany,GA,Georgia,31.51689,-84.042942
"6408619be47f20c363e818a5c77bfc01",Albany,GA,Georgia,31.52526,-84.301465
ebca7a2979948999881eb84949ba3f91,Albany,GA,Georgia,31.552695,-84.159214
"5643653777e221db40af4c63f6a5a0e0",Albany,GA,Georgia,31.586919,-84.206431
"6e6838a47b74839dacd06c3e2701e417",Albany,NY,New York,42.638686,-73.790469
