"songkey","songid","artistname","duration","key","keyconfidence","loudness","songhotness","tempo","title","year"
ba40506a03c0f15410c2848f5c36a7fc,SOAQMCT12A8C1350DE,Maria Callas/Eugenio Fernandi/Elisabeth Schwarzkopf/Giuseppe Nessi/Nicola Zaccaria/Mario Borriello/Renato Ercolani/Piero de Palma/Giulio Mauri/Elisabetta Fusco/Pinuccia Perotti/Coro del Teatro alla Scala_ Milano/Orchestra del Teatro alla Scala_ Milano/Tul,172.90404,2,0.344,-13.963,-1.0,109.721,Turandot (2008 Digital Remaster)_ Act III - Scene I: Nessum dorma!,0
da812341df451396350a9c91fd99b409,SOAWJZF12A6D4F7DE1,Maria Callas/Giuseppe di Stefano/Ettore Bastianini/Silvana Zanolli/Luisa Mandelli/Giuseppe Zampieri/Arturo La Porta/Antonio Zerbini/Silvio Maionica/Coro e Orchestra del Teatro alla Scala_ Milano/Carlo Maria Giulini,112.14322,11,0.094,-20.02,-1.0,96.775,La Traviata - highlights (1990 Digital Remaster): Ah_ non più (Alfredo/Violetta),0
"179efddbe91ee31c90868e6412d1b4a4",SOEBDOL12AB0189C81,Maurice Chevalier / Françoise Dorin / Marina Hottine / Suzanne Gabriello / Jo Charrier / Marcel Carpentier / Perrette Souplex / Andree Grandjean / Cadet Rivers / Raymond Girerd / Orchestre De Jacques-Henri Rys / Jacques Henri Rys,213.55057,7,0.1,-20.541,-1.0,164.618,Dialogue et final si j'avais su,0
c70e1584db119fc637765e93bc28b1e0,SOAMZKG12A8C13797C,Maria Callas/Gianni Raimondi/Gabriella Carturan/Plinio Clabassi/Nicola Rossi-Lemeni/Coro del Teatro alla Scala_ Milano/Noberto Mola/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni,102.68689,2,0.688,-14.447,-1.0,111.643,Anna Bolena (1997 Digital Remaster): Alcun potria ascoltarti,0
e8a957efc80f183505158d84ddec9fab,SONPHXB12A6D4FA61B,Alfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys' Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine,34.55955,5,0.106,-22.785,-1.0,130.319,Caro! (Colline/Rodolfo/Schaunard/Children/Townspeople/Musetta) (1998 Digital Remaster),0
ffd7c9c908a9166d9b202d912fa6cd7f,SOIJPPR12A6D4F3945,Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,541.23057,9,0.0,-15.586,-1.0,109.051,Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart),0
"044eb9ecf3a2818df1d6f962863b021e",SOEPYCP12AF72A77E0,Wyclef Jean featuring will.i.am and Melissa Jiménez;Wyclef Jean featuring Machel Montano_ Daniela Mercury_ Black Alex_ and Djakout Mizik,809.58649,7,0.112,-3.894,-1.0,129.703,Touch Your Button Carnival Jam,0
"7ee3ad1a438fff0d1925f6dbd58ee134",SOCQZZN12A8C13B3F4,Maria Callas/Giuseppe di Stefano/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni,233.40363,4,0.0,-16.618,-1.0,76.731,Un ballo in maschera (2002 Digital Remaster)_ Act 2: Oh_ qual soave brivido (Riccardo/Amelia),0
"092ccfc9dd139981caae14550b63b9a0",SOOJUIE12A81C212C2,Handsome Boy Modeling School,384.70485,11,0.474,-10.498,0.5024496241245333,118.241,Rock And Roll (Could Never Hip Hop Like This) Part 2 featuring Lord Finesse_ Mike Shonoda_ Chester Bennington_ Rahzel_ Qbert_ Grand Wizard Theodore & Jazzy Jay (Instrumental),2004
"3c93f272da344a7c5f9cf43c89f2ea54",SOJTAWE12A6D4F8EAC,The Doors,298.39628,0,0.214,-27.685,-1.0,66.155,The Trial_ Were You Scared? [The Lost Interview Tapes - Volume Two] (LP Version),0
b3fcd8fa69336233eed7259d83e992be,SOBTJCY12A8C137956,Göteborgs Symfoniker / Neeme Järvi,904.80281,0,0.236,-21.394,-1.0,146.354,Russian Easter Festival_ Overture_ Op.36,0
"59a71ec6ca87bc4468bc84e6d47e4d08",SOQEBML12A8C136AA4,Alfredo Kraus/Tatiana Troyanos/London Philharmonic Orchestra/Michel Plasson,55.40526,6,0.056,-23.73,-1.0,109.158,Werther (1997 Digital Remaster)_ PREMIER ACTE/ACT ONE/ERSTES AKT: Mon âme a reconnu votre âme(Werther/Charlotte),0
"0d78032d054b31c3519bed83f92edac1",SOPBKDI12A8C137D8F,Patrizia Pace/Waltraud Meier/Frank Lopardo/James Morris/Swedish Radio Choir/Stockholm Chamber Choir/Berliner Philharmoniker/Riccardo Muti,212.4273,2,0.395,-20.274,-1.0,37.42,Mass No. 19 in D minor_ 'Requiem' K626: Lacrimosa,0
"626264e49006e5b0ce7efb9d9e82da7b",SOBOFKI12A8C134832,Orchestra e Coro del Palacio de Bellas Artes Di Cittá del Messico_ Oliviero De Fabritiis_ Maria Call,370.99057,7,0.423,-21.08,-1.0,114.407,Atto Quarto: 'La Fatal Pietra Sovra Me Si Chiuse...' (Radames) (Verdi),0
"4a535710231624df3fd25ae7fd742ffd",SODUMDU12AC468A22B,All Leather,249.5473,8,0.537,-5.282,-1.0,150.982,We're Skrewed (Otto Von Schirach My Supernatural Motorcycle Gang Will Knife U Open Piss & Shit All Over Your Organic Starbucks =iPhone Bank Account Lifeless Lifestyle Remix),0
fcf4a4458f22a34115b4eef384aaa507,SOGNZTE12A67AD8518,Montserrat Caballé/Royal Philharmonic Orchestra/Lamberto Gardelli,498.80771,8,0.611,-23.576,-1.0,53.766,Guillaume Tell_ Acte II (1988 Digital Remaster): Ils s'éloignent enfin....Sombre forêt,0
f1a1253769832ee8f27e2b4b42af7f00,SOYUULR12AF72AB86D,Jimmy Page_ John Paul Jones_ Albert Lee_ Nicky Hopkins_ Big Jim Sullivan_ Clem Cattini_ Chris Hughes,131.34322,10,0.613,-12.176,0.4981708609556317,175.154,Livin' Lovin' Wreck,0
"3ff623dbea261859f7abf82bfd8977bd",SOFNUGC12A6BD530ED,Lionel Rogg,394.23955,0,0.608,-16.536,-1.0,106.479,Concerto in C major_ BWV 594 (after Vivaldi Op.7 No.5) (2007 Digital Remaster): I. 1st Movement,0
ed5898780bc3da0038598a0e3e2298b3,SOYXIYK12A8C138524,David Jalbert,153.33832,8,0.455,-30.925,0.1903996305842291,44.407,Nocturne For Piano No. 8 In D Flat Major_ Op. 84 No. 8 (also in Huit pièces brèves_ Op. 84/8),0
"8bdb4180fbedfbae99254c3b369fe158",SORPYHC12A6D4F9F58,The Doors,403.61751,9,0.4,-9.053,-1.0,131.013,Roadhouse Blues (Live In Detroit) (LP Version),0
c221a58aeea645efcbdb8a67d3929295,SOLHGND12AB0189E22,Maria & Margot Hellwig/Die Garmischer Alpenjäger,202.52689,2,0.852,-7.753,-1.0,109.601,Lieder_ Die Uns Ein Leben Lang Begleiten,0
be42d92d323f3cbfeeb84476e3af0ed7,SOCHPTV12A6BD53113,Lionel Rogg,172.38159,2,0.518,-20.848,-1.0,126.786,Die Kunst der Fuge_ BWV 1080 (2007 Digital Remaster): Contrapunctus XVII - Inversus,0
ee439ec3d6a6fb5db068dd33474fa13b,SOFOAIA12A8C136186,Nickelback featuring Kid Rock,223.99955,7,0.704,-3.709,0.6836473417498574,156.005,Saturday Night's Alright (For Fighting),2003
